IP;EndPoint;Data e Hora
::1;localhost:7188/orgao;10/03/2024 00:09:08
::1;localhost:7188/orgao;10/03/2024 00:14:11
::1;localhost:7188/orgao;10/03/2024 00:14:34
::1;localhost:7188/orgao;10/03/2024 00:15:00
::1;localhost:7188/orgao;10/03/2024 00:15:32
127.0.0.1;localhost:7188/orgao;10/03/2024 00:17:21
127.0.0.1;localhost:7188/orgao;10/03/2024 00:24:53
::1;localhost:7188/orgao;10/03/2024 00:25:56
::1;localhost:7188/orgao;10/03/2024 00:27:52
::1;localhost:7188/orgao;10/03/2024 00:29:25
::1;localhost:7188/orgao;10/03/2024 00:32:15
::1;localhost:7188/orgao;10/03/2024 00:33:57
::1;localhost:7188/orgao;10/03/2024 00:34:55
::1;localhost:7188/orgao;10/03/2024 00:36:21
::1;localhost:7188/orgao;10/03/2024 00:38:40
::1;localhost:7188/orgao;10/03/2024 00:40:28
::1;localhost:7188/orgao;10/03/2024 00:41:11
::1;localhost:7188/orgao;10/03/2024 12:09:30
::1;localhost:7188/orgao;10/03/2024 12:12:35
::1;localhost:7188/orgao;10/03/2024 12:18:29
::1;localhost:7188/orgao;10/03/2024 12:19:21
::1;localhost:7188/orgao;10/03/2024 12:27:56
::1;localhost:7188/orgao;10/03/2024 12:31:36
::1;localhost:7188/orgao;10/03/2024 22:39:19
::1;localhost:7188/orgao;10/03/2024 23:04:31
::1;localhost:7188/orgao;10/03/2024 23:08:14
::1;localhost:7188/orgao;10/03/2024 23:15:40
::1;localhost:7188/orgao;10/03/2024 23:19:26
::1;localhost:7188/orgao;10/03/2024 23:20:05
::1;localhost:7188/orgao;10/03/2024 23:29:57
::1;localhost:7188/orgao;10/03/2024 23:34:07
::1;localhost:7188/orgao;10/03/2024 23:35:06
::1;localhost:7188/orgao;10/03/2024 23:35:37
::1;localhost:7188/orgao;13/03/2024 11:04:55
::1;localhost:7188/orgao;13/03/2024 11:40:05
::1;localhost:7188/orgao;13/03/2024 11:40:07
::1;localhost:7188/orgao;13/03/2024 11:54:39
::1;localhost:7188/orgao;13/03/2024 11:57:16
::1;localhost:7188/orgao;13/03/2024 11:58:43
::1;localhost:7188/orgao;13/03/2024 13:08:04
::1;localhost:7188/orgao;13/03/2024 13:44:14
::1;localhost:7188/orgao;13/03/2024 13:48:03
::1;localhost:7188/orgao;13/03/2024 13:48:40
::1;localhost:7188/orgao;13/03/2024 13:50:26
::1;localhost:7188/orgao;13/03/2024 13:51:11
::1;localhost:7188/orgao;13/03/2024 13:52:21
::1;localhost:7188/orgao;13/03/2024 13:53:05
::1;localhost:7188/orgao;13/03/2024 13:54:18
::1;localhost:7188/orgao;13/03/2024 17:01:53
::1;localhost:7188/orgao;13/03/2024 17:24:18
::1;localhost:7188/orgao;13/03/2024 17:24:54
::1;localhost:7188/orgao;13/03/2024 17:25:16
::1;localhost:7188/orgao;13/03/2024 17:30:54
::1;localhost:7188/orgao;13/03/2024 17:32:05
::1;localhost:7188/orgao;13/03/2024 17:33:38
::1;localhost:7188/orgao;13/03/2024 18:26:14
::1;localhost:7188/orgao;13/03/2024 18:34:49
::1;localhost:7188/orgao;13/03/2024 18:35:19
::1;localhost:7188/orgao;13/03/2024 18:35:39
::1;localhost:7188/orgao;13/03/2024 18:37:55
::1;localhost:7188/orgao;13/03/2024 18:39:11
::1;localhost:7188/orgao;13/03/2024 18:40:01
::1;localhost:7188/orgao;13/03/2024 18:41:03
::1;localhost:7188/orgao;13/03/2024 18:42:28
::1;localhost:7188/orgao;13/03/2024 18:45:53
::1;localhost:7188/orgao;13/03/2024 18:47:06
